bread,,,,,,,,,,
scandinavian,scandinavian,,,,,,,,,
hot chocolate,jam,cookies,,,,,,,,
muffin,,,,,,,,,,
coffee,pastry,bread,,,,,,,,
medialuna,pastry,muffin,,,,,,,,
medialuna,pastry,coffee,tea,,,,,,,
pastry,bread,,,,,,,,,
bread,muffin,,,,,,,,,
scandinavian,medialuna,,,,,,,,,
bread,medialuna,bread,,,,,,,,
jam,coffee,tartine,pastry,tea,,,,,,
basket,bread,coffee,,,,,,,,
bread,medialuna,pastry,,,,,,,,
mineral water,scandinavian,,,,,,,,,
bread,medialuna,coffee,,,,,,,,
hot chocolate,,,,,,,,,,
farm house,,,,,,,,,,
farm house,bread,,,,,,,,,
bread,medialuna,,,,,,,,,
coffee,coffee,medialuna,bread,,,,,,,
jam,,,,,,,,,,
scandinavian,muffin,,,,,,,,,
bread,,,,,,,,,,
scandinavian,,,,,,,,,,
fudge,,,,,,,,,,
scandinavian,,,,,,,,,,
coffee,bread,,,,,,,,,
bread,jam,,,,,,,,,
bread,,,,,,,,,,
basket,,,,,,,,,,
scandinavian,muffin,,,,,,,,,
coffee,,,,,,,,,,
coffee,muffin,,,,,,,,,
muffin,scandinavian,,,,,,,,,
tea,bread,,,,,,,,,
coffee,bread,,,,,,,,,
bread,tea,,,,,,,,,
scandinavian,,,,,,,,,,
juice,tartine,coffee,muffin,,,,,,,
scandinavian,,,,,,,,,,
bread,tea,,,,,,,,,
scandinavian,fudge,,,,,,,,,
coffee,medialuna,,,,,,,,,
coffee,hot chocolate,medialuna,,,,,,,,
coffee,,,,,,,,,,
ella's kitchen pouches,juice,bread,muffin,jam,,,,,,
coffee,,,,,,,,,,
coffee,coffee,medialuna,,,,,,,,
bread,victorian sponge,,,,,,,,,
bread,,,,,,,,,,
scandinavian,,,,,,,,,,
bread,,,,,,,,,,
frittata,coffee,tea,hearty & seasonal,,,,,,,
coffee,frittata,,,,,,,,,
scandinavian,,,,,,,,,,
victorian sponge,hot chocolate,tea,soup,,,,,,,
tea,,,,,,,,,,
cookies,coffee,juice,coffee,,,,,,,
coffee,,,,,,,,,,
pick and mix bowls,hearty & seasonal,hearty & seasonal,coffee,smoothies,coffee,,,,,
coffee,,,,,,,,,,
cake,,,,,,,,,,
tartine,mighty protein,tea,coffee,,,,,,,
hearty & seasonal,frittata,mineral water,,,,,,,,
hearty & seasonal,mineral water,muffin,,,,,,,,
